Ward_Assigned,price_num,walkScore,postalCode,Property_Type,yearBuilt,bedrooms,bathrooms,parking,garage,lotDepth,lotFrontage
5,2500000.0,1.0,K0A 1L0,Lots/Acreage,,,,,,1127.76,1447.8
21,495000.0,1.0,K0A 1B0,Lots/Acreage,,,,,,1402.08,609.6
5,365000.0,1.0,K0A 1L0,Lots/Acreage,,,,,,638.86,470.92
20,9830500.0,1.0,K1G 3N4,Lots/Acreage,,,,,,983.6,402.17
5,89000.0,1.0,K0A 1T0,Lots/Acreage,,,,,,617.52,356.62
20,2200000.0,1.0,K0A 2P0,Lots/Acreage,,,,,,1005.84,335.28
20,2200000.0,1.0,K0A 2P0,Lots/Acreage,,,,,,1005.84,335.28
5,499900.0,1.0,K7S 3G7,Lots/Acreage,,,,,,414.38,306.43
5,900000.0,1.0,K2K 1X7,Lots/Acreage,,,,,,657.95,305.4
20,1100000.0,5.0,K1H 7Z2,Residential,1946.0,3.0,0.0,10.0,0.0,598.72,265.61
20,1100000.0,5.0,K1H 7Z2,Residential,1946.0,3.0,0.0,10.0,0.0,598.72,265.61
5,960000.0,3.0,K0A 1T0,Residential,1984.0,6.0,4.0,8.0,2.0,283.2,265.05
21,3850000.0,1.0,K4M 1B3,Residential,2012.0,4.0,6.0,10.0,3.0,122.68,254.57
19,1899999.0,1.0,K4B 0J3,Residential,2008.0,5.0,3.0,12.0,3.0,716.89,243.84
5,389800.0,1.0,K2K 1X7,Lots/Acreage,,,,,,318.2,226.76
21,661200.0,1.0,K0A 2Z0,Lots/Acreage,,,,,,533.58,214.79
21,2530500.0,1.0,K0A 2Z0,Lots/Acreage,,,,,,1745.71,209.93
21,2407500.0,1.0,K2S 1B8,Lots/Acreage,,,,,,1694.94,209.17
21,649500.0,1.0,K0A 2Z0,Lots/Acreage,,,,,,556.46,208.12
21,385000.0,1.0,K0A 2E0,Lots/Acreage,,,,,,712.01,206.96
21,350000.0,1.0,K0G 1J0,Lots/Acreage,,,,,,153.67,204.56
20,239000.0,1.0,K0A 2W0,Lots/Acreage,,,,,,249.63,199.42
5,47000.0,1.0,K0A 1X0,Lots/Acreage,,,,,,202.73,158.38
20,3852500.0,7.0,K1X 1G7,Commercial,,,,,,199.57,145.4
5,350000.0,1.0,K0A 2H0,Lots/Acreage,,,,,,263.96,134.72
21,999900.0,1.0,K0A 2Z0,Residential,1988.0,4.0,5.0,20.0,3.0,93.2,126.78
5,250000.0,1.0,K0A 1T0,Lots/Acreage,,,,,,152.4,115.79
21,425000.0,1.0,K0A 2E0,Lots/Acreage,,,,,,191.02,112.77
20,1200000.0,4.0,K4M 1B5,Residential,1989.0,4.0,4.0,6.0,2.0,103.89,111.41
5,110000.0,1.0,K0A 3M0,Lots/Acreage,,,,,,109.02,102.64
5,199900.0,1.0,K0A 3M0,Lots/Acreage,,,,,,203.05,101.26
7,2990000.0,3.0,K2H 8B9,Residential,1981.0,5.0,5.0,10.0,3.0,105.17,97.77
21,2290000.0,1.0,K2S 0L4,Residential,2008.0,5.0,5.0,20.0,16.0,92.66,86.87
20,1588000.0,4.0,K4M 0A1,Residential,2008.0,6.0,4.0,10.0,2.0,97.0,82.5
20,1625000.0,31.0,K4M 1B2,Residential,1985.0,3.0,3.0,20.0,2.0,261.41,76.72
21,1550000.0,1.0,K2C 3H2,Residential,,5.0,3.0,30.0,9.0,179.22,76.2
5,285000.0,1.0,K0A 1T0,Lots/Acreage,,,,,,638.86,76.08
1,1575000.0,1.0,K4C 0A5,Residential,2015.0,6.0,5.0,12.0,5.0,141.24,75.62
21,249900.0,1.0,K0A 2Z0,Lots/Acreage,,,,,,113.08,73.5
21,249900.0,1.0,K0A 2Z0,Lots/Acreage,,,,,,113.08,73.5
1,1000000.0,1.0,K4C 1E2,Residential,1990.0,5.0,4.0,10.0,3.0,134.68,73.44
19,1300000.0,1.0,K4B 1H9,Lots/Acreage,,,,,,61.49,69.91
5,1499900.0,1.0,K0A 1L0,Residential,2013.0,5.0,4.0,10.0,5.0,120.39,69.36
11,769000.0,41.0,K1J 6L4,Lots/Acreage,,,,,,64.31,67.36
1,375000.0,1.0,K4C 1A9,Lots/Acreage,,,,,,110.2,66.69
1,1295000.0,6.0,K4C 1G3,Residential,1847.0,8.0,4.0,12.0,4.0,91.84,65.38
4,2950000.0,62.0,K2K 1X7,Commercial,,,,,,63.7,64.92
3,1679000.0,7.0,K2R 1A1,Residential,1984.0,5.0,3.0,10.0,2.0,73.15,64.62
5,249900.0,1.0,K2K 1X7,Lots/Acreage,,,,,,127.11,63.61
13,1750000.0,34.0,K1M 0N4,Residential,1940.0,5.0,6.0,8.0,2.0,58.37,60.96
5,2495000.0,1.0,K0A 1L0,Residential,2008.0,4.0,5.0,10.0,3.0,189.04,60.09
16,1499900.0,13.0,K1V 8K6,Residential,1954.0,3.0,2.0,2.0,2.0,87.29,55.69
16,1499900.0,13.0,K1V 8K6,Lots/Acreage,,,,,,87.29,55.69
19,744900.0,1.0,K4B 0E9,Residential,1989.0,5.0,3.0,10.0,3.0,68.13,55.0
1,375000.0,1.0,K4C 1A9,Lots/Acreage,,,,,,133.97,54.81
5,439900.0,2.0,K2K 1X7,Residential,1880.0,3.0,2.0,10.0,0.0,66.9,50.6
20,569000.0,1.0,K1X 1H3,Residential,2002.0,5.0,3.0,6.0,2.0,30.18,48.77
1,649999.0,2.0,K4B 1B7,Residential,1994.0,5.0,2.0,7.0,1.0,36.88,46.33
14,735900.0,1.0,K0A 1B0,Residential,2020.0,3.0,2.0,6.0,3.0,105.51,46.0
5,1489000.0,2.0,K0A 1T0,Residential,1979.0,5.0,5.0,10.0,3.0,95.1,45.77
10,785000.0,8.0,K1T 3W9,Residential,1960.0,3.0,2.0,6.0,2.0,46.94,45.72
10,785000.0,8.0,K1T 3W9,Residential,1960.0,3.0,2.0,6.0,2.0,46.94,45.72
20,499900.0,1.0,K4P 1K3,Residential,1987.0,3.0,2.0,10.0,2.0,89.65,45.72
1,365000.0,1.0,K4C 1E2,Lots/Acreage,,,,,,117.2,45.58
14,838900.0,1.0,K0A 1B0,Residential,2020.0,4.0,3.0,6.0,3.0,122.04,45.5
1,750000.0,1.0,K4C 1A9,Residential,1994.0,4.0,4.0,10.0,2.0,257.86,45.35
20,249000.0,1.0,K4P 1H2,Lots/Acreage,,,,,,200.83,44.99
3,1299900.0,33.0,K2J 2E9,Lots/Acreage,,,,,,36.58,44.35
20,500000.0,3.0,K4P 1E5,Residential,1972.0,5.0,2.0,8.0,3.0,58.73,43.62
13,1590000.0,20.0,K1K 0R4,Residential,1986.0,3.0,3.0,12.0,2.0,45.6,43.24
5,429000.0,1.0,K0A 1T0,Residential,,3.0,1.0,6.0,0.0,51.45,43.13
7,1199900.0,3.0,K2H 8B9,Residential,1960.0,4.0,3.0,5.0,1.0,68.58,42.67
9,799900.0,15.0,K2C 3J7,Lots/Acreage,,,,,,138.38,42.67
20,599000.0,2.0,K4P 1E4,Residential,1986.0,4.0,2.0,6.0,1.0,48.12,42.5
