Ward,Ward_Name,Ward_Full
1,Orléans East-Cumberland,Ward 1 - Orléans East-Cumberland
2,Orléans West-Innes,Ward 2 - Orléans West-Innes
3,Barrhaven West,Ward 3 - Barrhaven West
4,Kanata North,Ward 4 - Kanata North
5,West Carleton-March,Ward 5 - West Carleton-March
6,Stittsville,Ward 6 - Stittsville
7,Bay,Ward 7 - Bay
8,College,Ward 8 - College
9,Knoxdale-Merivale,Ward 9 - Knoxdale-Merivale
10,Gloucester-Southgate,Ward 10 - Gloucester-Southgate
11,Beacon Hill-Cyrville,Ward 11 - Beacon Hill-Cyrville
12,Rideau-Vanier,Ward 12 - Rideau-Vanier
13,Rideau-Rockcliffe,Ward 13 - Rideau-Rockcliffe
14,Somerset,Ward 14 - Somerset
15,Kitchissippi,Ward 15 - Kitchissippi
16,River,Ward 16 - River
17,Capital,Ward 17 - Capital
18,Alta Vista,Ward 18 - Alta Vista
19,Orléans South-Navan,Ward 19 - Orléans South-Navan
20,Osgoode,Ward 20 - Osgoode
21,Rideau-Jock,Ward 21 - Rideau-Jock
22,Riverside South-Findlay Creek,Ward 22 - Riverside South-Findlay Creek
23,Kanata South,Ward 23 - Kanata South
24,Barrhaven East,Ward 24 - Barrhaven East
